Key,SourceString,DevNotes
"Common","Common",""
"Frontend_Back","Back","Browser Back Button back text"
"Uncommon","Uncommon",""
"Difficulty0","French",""
"Difficulty1","Normal",""
"Difficulty2","Hard",""
"Difficulty3","Extreme",""
"Difficulty4","Good Luck",""
"Difficulty5","Consent Needed",""
"Difficulty6","Impossible",""
"Campaign","Campaign",""
"Excursion","Excursion",""
"ExitGame","Exit Game",""
"Difficulty:","Difficulty",""
"TheRunWillEndIn","The run will end in {0}",""
"KillEnemyName","Kill {EnemyName}",""
"KillXAmountOfEnemies","Kill {amountOfEnemies} enemies",""
"Kill1Enemy","Kill 1 enemy",""
"Assault","Assault",""
"Guard","Guard",""
"Flow","Flow",""
"Corruption","Corruption",""
"RoundStart","Round {0}","Survival HUD round-start message template. {0} is the round number."
"RoundClear","Round Clear","Survival HUD round-clear message."
"BossIncoming","Boss Incoming","Survival HUD boss incoming message."
"BossDefeated","Boss Defeated","Survival HUD boss defeated message."
"CycleStart","Cycle {0}","Survival HUD cycle-start message template. {0} is the cycle number."
"DefenseObjectiveActive","Defend the Tree","Survival defense objective activation message."
"DefenseObjectiveHealth75","Tree Under Attack","Survival defense objective warning when health reaches 75 percent."
"DefenseObjectiveHealth50","Tree Heavily Damaged","Survival defense objective warning when health reaches 50 percent."
"DefenseObjectiveHealth25","Tree Critical","Survival defense objective warning when health reaches 25 percent."
"DefenseObjectiveDestroyed","Tree Destroyed","Survival defense objective destroyed message."
"DefenseObjectiveRepaired","Tree Repaired","Future repair essence hook: defense objective repaired message."
"RepairEssenceCollected","Repair Essence Acquired","Future repair essence hook: repair pickup collected message."
"RepairEssenceReady","Tree Repair Ready","Future repair essence hook: player has enough repair essence."
"Gold","Gold","Currency label."
"GoldPickupDelta","+{0} Gold","Currency pickup delta template. {0} is the gold amount."
"GoldSpentDelta","-{0} Gold","Currency spend delta template. {0} is the gold amount."
"NotEnoughGold","Not Enough Gold","Repair/shop validation message."
"TreeAlreadyFull","Tree Already Full","Repair validation message when the defense objective is already at max HP."
"RepairUnavailable","Repair Unavailable","Repair validation message when the objective cannot currently be repaired."
"DefenseRepairSmall","Small Repair","Defense objective repair option label."
